URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/allergy-intolerance-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.122",AllergyIntoleranceType,,"Identification of the underlying physiological mechanism for a Reaction Risk.","ValueSet/allergy-intolerance-type"
http://hl7.org/fhir/allergy-verification-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.116",AllergyIntoleranceVerificationStatus,,"Assertion about certainty associated with a propensity, or potential risk, of a reaction to the identified substance.","ValueSet/allergy-verification-status"
http://hl7.org/fhir/animal-genderstatus,3.0.2,draft,"2.16.840.1.113883.4.642.1.408",GenderStatus,,"This example value set defines a set of codes that can be used to indicate the current state of the animal's reproductive organs.","ValueSet/animal-genderstatus"
http://hl7.org/fhir/audit-entity-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.903",AuditEventEntityType,,"Code for the entity type involved in the audit event.","ValueSet/audit-entity-type"
http://hl7.org/fhir/audit-event-action,3.0.2,draft,"2.16.840.1.113883.4.642.1.446",AuditEventAction,,"Indicator for type of action performed during the event that generated the event","ValueSet/audit-event-action"
http://hl7.org/fhir/audit-event-outcome,3.0.2,draft,"2.16.840.1.113883.4.642.1.448",AuditEventOutcome,,"Indicates whether the event succeeded or failed","ValueSet/audit-event-outcome"
http://hl7.org/fhir/audit-event-type,20150326,active,"2.16.840.1.113883.4.642.1.456",Audit Event ID,,"Event Types for Audit Events - defined by DICOM with some FHIR specific additions.","ValueSet/audit-event-type"
http://hl7.org/fhir/composition-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.237",CompositionStatus,,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/condition-clinical,3.0.2,draft,"2.16.840.1.113883.4.642.1.156",Condition Clinical Status Codes,,"Preferred value set for Condition Clinical Status.","ValueSet/condition-clinical"
http://hl7.org/fhir/condition-ver-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.158",ConditionVerificationStatus,,"The verification status to support or decline the clinical status of the condition or diagnosis.","ValueSet/condition-ver-status"
